Tecomat F2x CP2007I v2.3.061 DataLogger v1.3 (2024-01-10-00:00:00) : Datalog / El_meter ! Type : PERIODIC | DATE : %TDD-MM-YYYY | TIME : %Thh:mm:ss | REAL : %9.f %RF012397 | REAL : %9.f %RF012401 | REAL : %9.f %RF012405 | ,;
DATUM;ÈAS;Vykon L1;Vykon L2;Vykon L3
10-01-2024;01:56:20;     1653;        0;       -0;
10-01-2024;01:56:30;     1664;       -0;       -0;
10-01-2024;01:56:40;     1679;        0;       -0;
10-01-2024;01:56:50;     1686;       -0;       -0;
10-01-2024;01:57:00;     1693;        0;       -0;
10-01-2024;01:57:10;     1694;        0;       -0;
10-01-2024;01:57:20;     1698;       -0;       -0;
10-01-2024;01:57:30;     1701;       -0;       -0;
10-01-2024;01:57:40;     1702;        0;       -0;
10-01-2024;01:57:50;     1524;        0;       -0;
10-01-2024;01:58:00;     1532;        0;        0;
10-01-2024;01:58:10;     1532;        0;       -0;
10-01-2024;01:58:20;     1514;       -0;       -0;
10-01-2024;01:58:30;     1380;        0;       -0;
10-01-2024;01:58:40;     1148;        0;       -0;
10-01-2024;01:58:50;      930;       -0;       -0;
10-01-2024;01:59:00;      909;        0;       -0;
10-01-2024;01:59:10;      459;       -0;       -0;
10-01-2024;01:59:20;      392;        0;       -0;
10-01-2024;01:59:30;      436;        0;       -0;
10-01-2024;01:59:40;      590;        0;       -0;
10-01-2024;01:59:50;      879;        0;       -0;
10-01-2024;02:00:00;     1264;       -0;       -0;
10-01-2024;02:00:10;     1134;       -0;        0;
10-01-2024;02:00:20;      999;        0;       -0;
10-01-2024;02:00:30;      862;        0;       -0;
10-01-2024;02:00:40;      902;        0;       -0;
10-01-2024;02:00:50;      315;       -0;       -0;
10-01-2024;02:01:00;      594;       -0;       -0;
10-01-2024;02:01:10;      904;        0;       -0;
10-01-2024;02:01:20;     1196;        0;       -0;
10-01-2024;02:01:30;     1507;       -0;       -0;
10-01-2024;02:01:40;     1510;       -0;       -0;
10-01-2024;02:01:50;     1473;       -0;       -0;
10-01-2024;02:02:00;     1455;        0;       -0;
10-01-2024;02:02:10;     1461;        0;       -0;
10-01-2024;02:02:20;     1468;        0;       -0;
10-01-2024;02:02:30;     1462;        0;       -0;
10-01-2024;02:02:40;     1462;       -0;       -0;
10-01-2024;02:02:50;     1439;        0;       -0;
10-01-2024;02:03:00;     1447;        0;       -0;
10-01-2024;02:03:10;     1460;        0;        0;
10-01-2024;02:03:20;     1464;       -0;       -0;
10-01-2024;02:03:30;     1468;        0;       -0;
10-01-2024;02:03:40;     1481;        0;       -0;
10-01-2024;02:03:50;     1397;        0;       -0;
10-01-2024;02:04:00;     1320;        0;       -0;
10-01-2024;02:04:10;     1326;        0;       -0;
10-01-2024;02:04:20;     1336;       -0;       -0;
10-01-2024;02:04:30;     1345;        0;       -0;
10-01-2024;02:04:40;     1350;        0;        0;
10-01-2024;02:04:50;     1359;        0;       -0;
10-01-2024;02:05:00;     1198;       -0;       -0;
10-01-2024;02:05:10;     1195;       -0;        0;
10-01-2024;02:05:20;     1195;        0;       -0;
10-01-2024;02:05:30;     1196;        0;       -0;
10-01-2024;02:05:40;     1193;        0;       -0;
10-01-2024;02:05:50;     1143;       -0;       -0;
10-01-2024;02:06:00;     1026;        0;       -0;
10-01-2024;02:06:10;     1013;        0;        0;
10-01-2024;02:06:20;      995;        0;       -0;
10-01-2024;02:06:30;     1001;        0;       -0;
10-01-2024;02:06:40;      995;       -0;       -0;
10-01-2024;02:06:50;      998;        0;       -0;
10-01-2024;02:07:00;      994;        0;       -0;
10-01-2024;02:07:10;      989;       -0;       -0;
10-01-2024;02:07:20;      990;       -0;       -0;
10-01-2024;02:07:30;      990;        0;       -0;
10-01-2024;02:07:40;      913;        0;       -0;
10-01-2024;02:07:50;      847;        0;       -0;
10-01-2024;02:08:00;      836;        0;       -0;
10-01-2024;02:08:10;      837;        0;       -0;
10-01-2024;02:08:20;      837;        0;       -0;
10-01-2024;02:08:30;      839;        0;        0;
10-01-2024;02:08:40;      837;       -0;       -0;
10-01-2024;02:08:50;      840;        0;       -0;
10-01-2024;02:09:00;      835;        0;       -0;
10-01-2024;02:09:10;      833;        0;       -0;
10-01-2024;02:09:20;      837;        0;       -0;
10-01-2024;02:09:30;      834;       -0;       -0;
10-01-2024;02:09:40;      835;        0;       -0;
10-01-2024;02:09:50;      825;       -0;       -0;
10-01-2024;02:10:00;      831;        0;       -0;
10-01-2024;02:10:10;      832;        0;       -0;
10-01-2024;02:10:20;      830;        0;        0;
10-01-2024;02:10:30;      827;        0;       -0;
10-01-2024;02:10:40;      830;        0;       -0;
10-01-2024;02:10:50;      833;        0;       -0;
10-01-2024;02:11:00;      824;        0;       -0;
10-01-2024;02:11:10;      827;        0;        0;
10-01-2024;02:11:20;      826;        0;       -0;
10-01-2024;02:11:30;      826;        0;       -0;
10-01-2024;02:11:40;      824;       -0;       -0;
10-01-2024;02:11:50;      815;        0;       -0;
10-01-2024;02:12:00;      815;       -0;       -0;
10-01-2024;02:12:10;      813;       -0;       -0;
10-01-2024;02:12:20;      810;       -0;       -0;
10-01-2024;02:12:30;      808;        0;       -0;
10-01-2024;02:12:40;      813;        0;       -0;
10-01-2024;02:12:50;      815;        0;       -0;
10-01-2024;02:13:00;      814;        0;       -0;
10-01-2024;02:13:10;      809;        0;        0;
10-01-2024;02:13:20;      811;        0;        0;
10-01-2024;02:13:30;      812;        0;        0;
10-01-2024;02:13:40;      810;        0;       -0;
10-01-2024;02:13:50;      809;        0;       -0;
10-01-2024;02:14:00;      807;        0;       -0;
10-01-2024;02:14:10;      804;        0;       -0;
10-01-2024;02:14:20;      816;        0;        0;
10-01-2024;02:14:30;      810;        0;       -0;
10-01-2024;02:14:40;      807;        0;       -0;
10-01-2024;02:14:50;      801;       -0;       -0;
10-01-2024;02:15:00;      807;        0;       -0;
10-01-2024;02:15:10;      803;        0;       -0;
10-01-2024;02:15:20;      804;        0;       -0;
10-01-2024;02:15:30;      806;       -0;       -0;
10-01-2024;02:15:40;      807;        0;       -0;
10-01-2024;02:15:50;      808;        0;       -0;
10-01-2024;02:16:00;      805;        0;       -0;
10-01-2024;02:16:10;      804;        0;        0;
10-01-2024;02:16:20;      800;        0;       -0;
10-01-2024;02:16:30;      805;       -0;       -0;
10-01-2024;02:16:40;      806;        0;       -0;
10-01-2024;02:16:50;      801;        0;       -0;
10-01-2024;02:17:00;      805;        0;       -0;
10-01-2024;02:17:10;      807;        0;       -0;
10-01-2024;02:17:20;      813;        0;       -0;
10-01-2024;02:17:30;      822;        0;       -0;
10-01-2024;02:17:40;      837;        0;       -0;
10-01-2024;02:17:50;      848;       -0;       -0;
10-01-2024;02:18:00;      840;        0;       -0;
10-01-2024;02:18:10;      842;       -0;       -0;
10-01-2024;02:18:20;      843;        0;       -0;
10-01-2024;02:18:30;      845;        0;        0;
10-01-2024;02:18:40;      845;        0;       -0;
10-01-2024;02:18:50;      837;        0;       -0;
10-01-2024;02:19:00;      843;        0;       -0;
10-01-2024;02:19:10;      843;        0;       -0;
10-01-2024;02:19:20;      852;        0;       -0;
10-01-2024;02:19:30;      713;        0;        0;
10-01-2024;02:19:40;      695;        0;       -0;
10-01-2024;02:19:50;      684;       -0;       -0;
10-01-2024;02:20:00;      687;        0;       -0;
10-01-2024;02:20:10;      689;       -0;       -0;
10-01-2024;02:20:20;      695;        0;       -0;
10-01-2024;02:20:30;      705;        0;       -0;
10-01-2024;02:20:40;      708;        0;       -0;
10-01-2024;02:20:50;      714;        0;       -0;
10-01-2024;02:21:00;      717;       -0;       -0;
10-01-2024;02:21:10;      719;        0;       -0;
10-01-2024;02:21:20;      720;       -0;       -0;
10-01-2024;02:21:30;      723;        0;       -0;
10-01-2024;02:21:40;      727;        0;       -0;
10-01-2024;02:21:50;      736;       -0;       -0;
10-01-2024;02:22:00;      739;        0;       -0;
10-01-2024;02:22:10;      743;        0;       -0;
10-01-2024;02:22:20;      744;        0;       -0;
10-01-2024;02:22:30;      739;        0;       -0;
10-01-2024;02:22:40;      736;        0;       -0;
10-01-2024;02:22:50;      733;        0;       -0;
10-01-2024;02:23:00;      729;        0;        0;
10-01-2024;02:23:10;      722;        0;       -0;
10-01-2024;02:23:20;      718;        0;        0;
10-01-2024;02:23:30;      714;        0;       -0;
10-01-2024;02:23:40;      708;        0;       -0;
10-01-2024;02:23:50;      700;        0;       -0;
10-01-2024;02:24:00;      695;       -0;       -0;
10-01-2024;02:24:10;      690;       -0;       -0;
10-01-2024;02:24:20;      688;       -0;       -0;
10-01-2024;02:24:30;      686;        0;       -0;
10-01-2024;02:24:40;      690;        0;       -0;
10-01-2024;02:24:50;      694;        0;       -0;
10-01-2024;02:25:00;      697;        0;       -0;
10-01-2024;02:25:10;      700;        0;       -0;
10-01-2024;02:25:20;      703;        0;       -0;
10-01-2024;02:25:30;      704;        0;       -0;
10-01-2024;02:25:40;      708;        0;       -0;
10-01-2024;02:25:50;      709;        0;       -0;
10-01-2024;02:26:00;      712;       -0;       -0;
10-01-2024;02:26:10;      843;        0;       -0;
10-01-2024;02:26:20;     1184;        0;       -0;
10-01-2024;02:26:30;     1473;       -0;        0;
10-01-2024;02:26:40;     1385;        0;       -0;
10-01-2024;02:26:50;     1421;       -0;       -0;
10-01-2024;02:27:00;     1295;        0;       -0;
10-01-2024;02:27:10;     1278;        0;        0;
10-01-2024;02:27:20;     1308;        0;       -0;
10-01-2024;02:27:30;     1282;        0;        0;
10-01-2024;02:27:40;     1109;        0;       -0;
10-01-2024;02:27:50;      833;        0;       -0;
10-01-2024;02:28:00;      810;        0;        0;
10-01-2024;02:28:10;      801;        0;       -0;
10-01-2024;02:28:20;      800;        0;       -0;
10-01-2024;02:28:30;      802;       -0;       -0;
10-01-2024;02:28:40;      804;        0;       -0;
10-01-2024;02:28:50;      808;        0;       -0;
10-01-2024;02:29:00;      803;        0;        0;
10-01-2024;02:29:10;      815;        0;        0;
10-01-2024;02:29:20;      818;       -0;       -0;
10-01-2024;02:29:30;      819;        0;        0;
10-01-2024;02:29:40;      823;        0;       -0;
10-01-2024;02:29:50;      839;        0;       -0;
10-01-2024;02:30:00;      851;       -0;       -0;
10-01-2024;02:30:10;      864;        0;       -0;
10-01-2024;02:30:20;      876;        0;       -0;
10-01-2024;02:30:30;      880;        0;       -0;
10-01-2024;02:30:40;      875;        0;       -0;
10-01-2024;02:30:50;      765;        0;       -0;
10-01-2024;02:31:00;      698;        0;       -0;
10-01-2024;02:31:10;      702;        0;       -0;
10-01-2024;02:31:20;      690;        0;       -0;
10-01-2024;02:31:30;      696;       -0;       -0;
10-01-2024;02:31:40;      698;       -0;        0;
10-01-2024;02:31:50;      708;        0;       -0;
10-01-2024;02:32:00;      707;       -0;       -0;
10-01-2024;02:32:10;      721;        0;       -0;
10-01-2024;02:32:20;      741;        0;       -0;
10-01-2024;02:32:30;      747;        0;       -0;
10-01-2024;02:32:40;      751;       -0;       -0;
10-01-2024;02:32:50;      758;        0;       -0;
10-01-2024;02:33:00;      744;       -0;       -0;
10-01-2024;02:33:10;      756;       -0;       -0;
10-01-2024;02:33:20;      768;       -0;       -0;
10-01-2024;02:33:30;      771;        0;       -0;
10-01-2024;02:33:40;      768;       -0;       -0;
10-01-2024;02:33:50;      763;        0;       -0;
10-01-2024;02:34:00;      746;        0;       -0;
10-01-2024;02:34:10;      735;        0;       -0;
10-01-2024;02:34:20;      727;        0;       -0;
10-01-2024;02:34:30;      720;        0;       -0;
10-01-2024;02:34:40;      715;       -0;       -0;
10-01-2024;02:34:50;      711;        0;       -0;
10-01-2024;02:35:00;      709;       -0;       -0;
10-01-2024;02:35:10;      706;        0;       -0;
10-01-2024;02:35:20;      705;       -0;       -0;
10-01-2024;02:35:30;      704;        0;       -0;
10-01-2024;02:35:40;      700;        0;       -0;
10-01-2024;02:35:50;      698;        0;       -0;
10-01-2024;02:36:00;      701;        0;       -0;
10-01-2024;02:36:10;      705;       -0;       -0;
10-01-2024;02:36:20;      708;        0;       -0;
10-01-2024;02:36:30;      710;       -0;        0;
10-01-2024;02:36:40;      711;        0;       -0;
10-01-2024;02:36:50;      717;       -0;       -0;
10-01-2024;02:37:00;      719;        0;       -0;
10-01-2024;02:37:10;      722;       -0;        0;
10-01-2024;02:37:20;      725;        0;       -0;
10-01-2024;02:37:30;      727;        0;       -0;
10-01-2024;02:37:40;      725;       -0;       -0;
10-01-2024;02:37:50;      723;        0;       -0;
10-01-2024;02:38:00;      720;        0;       -0;
10-01-2024;02:38:10;      716;        0;       -0;
10-01-2024;02:38:20;      717;        0;       -0;
10-01-2024;02:38:30;      714;       -0;       -0;
10-01-2024;02:38:40;      714;        0;       -0;
10-01-2024;02:38:50;      712;        0;       -0;
10-01-2024;02:39:00;      710;        0;       -0;
10-01-2024;02:39:10;      709;       -0;       -0;
10-01-2024;02:39:20;      709;        0;       -0;
10-01-2024;02:39:30;      708;       -0;       -0;
10-01-2024;02:39:40;      712;       -0;       -0;
10-01-2024;02:39:50;      715;        0;       -0;
10-01-2024;02:40:00;      716;        0;       -0;
10-01-2024;02:40:10;      716;        0;        0;
10-01-2024;02:40:20;      717;        0;       -0;
10-01-2024;02:40:30;      716;        0;       -0;
10-01-2024;02:40:40;      715;        0;       -0;
10-01-2024;02:40:50;      714;        0;       -0;
10-01-2024;02:41:00;      715;       -0;       -0;
10-01-2024;02:41:10;      715;       -0;       -0;
10-01-2024;02:41:20;      715;       -0;       -0;
10-01-2024;02:41:30;      715;        0;       -0;
10-01-2024;02:41:40;      716;        0;       -0;
10-01-2024;02:41:50;      716;       -0;       -0;
10-01-2024;02:42:00;      716;       -0;       -0;
10-01-2024;02:42:10;      717;        0;       -0;
10-01-2024;02:42:20;      720;        0;       -0;
10-01-2024;02:42:30;      724;        0;       -0;
10-01-2024;02:42:40;      727;        0;       -0;
10-01-2024;02:42:50;      722;        0;       -0;
10-01-2024;02:43:00;      721;        0;       -0;
10-01-2024;02:43:10;      719;        0;       -0;
10-01-2024;02:43:20;      718;        0;       -0;
10-01-2024;02:43:30;      716;        0;       -0;
10-01-2024;02:43:40;      717;        0;       -0;
10-01-2024;02:43:50;      716;        0;       -0;
10-01-2024;02:44:00;      714;       -0;       -0;
10-01-2024;02:44:10;      713;        0;       -0;
10-01-2024;02:44:20;      712;        0;       -0;
10-01-2024;02:44:30;      713;        0;       -0;
10-01-2024;02:44:40;      717;        0;       -0;
10-01-2024;02:44:50;      719;        0;       -0;
10-01-2024;02:45:00;      721;        0;       -0;
10-01-2024;02:45:10;      721;       -0;        0;
10-01-2024;02:45:20;      722;       -0;       -0;
10-01-2024;02:45:30;      723;        0;       -0;
10-01-2024;02:45:40;      724;        0;       -0;
10-01-2024;02:45:50;      725;        0;       -0;
10-01-2024;02:46:00;      724;       -0;       -0;
10-01-2024;02:46:10;      726;        0;       -0;
10-01-2024;02:46:20;      727;        0;       -0;
10-01-2024;02:46:30;      729;       -0;       -0;
10-01-2024;02:46:40;      731;        0;       -0;
10-01-2024;02:46:50;      730;        0;        0;
10-01-2024;02:47:00;      727;       -0;       -0;
10-01-2024;02:47:10;      724;        0;        0;
10-01-2024;02:47:20;      725;       -0;       -0;
10-01-2024;02:47:30;      723;        0;       -0;
10-01-2024;02:47:40;      725;       -0;        0;
10-01-2024;02:47:50;      723;        0;        0;
10-01-2024;02:48:00;      886;        0;       -0;
10-01-2024;02:48:10;     1251;        0;       -0;
10-01-2024;02:48:20;     1538;        0;       -0;
10-01-2024;02:48:30;     1455;        0;       -0;
10-01-2024;02:48:40;     1467;       -0;       -0;
10-01-2024;02:48:50;     1366;        0;       -0;
10-01-2024;02:49:00;     1341;       -0;       -0;
10-01-2024;02:49:10;     1300;       -0;       -0;
10-01-2024;02:49:20;     1313;        0;       -0;
10-01-2024;02:49:30;     1050;        0;       -0;
10-01-2024;02:49:40;      845;        0;       -0;
10-01-2024;02:49:50;      826;        0;       -0;
10-01-2024;02:50:00;      825;        0;       -0;
10-01-2024;02:50:10;      821;        0;       -0;
10-01-2024;02:50:20;      824;        0;        0;
10-01-2024;02:50:30;      828;       -0;       -0;
10-01-2024;02:50:40;      834;        0;       -0;
10-01-2024;02:50:50;      839;       -0;       -0;
10-01-2024;02:51:00;      843;        0;       -0;
10-01-2024;02:51:10;      848;       -0;       -0;
10-01-2024;02:51:20;      852;        0;       -0;
10-01-2024;02:51:30;      854;       -0;       -0;
10-01-2024;02:51:40;      860;       -0;       -0;
10-01-2024;02:51:50;      867;        0;       -0;
10-01-2024;02:52:00;      880;        0;        0;
10-01-2024;02:52:10;      787;        0;       -0;
10-01-2024;02:52:20;      724;       -0;       -0;
10-01-2024;02:52:30;      719;        0;       -0;
10-01-2024;02:52:40;      713;        0;       -0;
10-01-2024;02:52:50;      710;        0;        0;
10-01-2024;02:53:00;      705;        0;       -0;
10-01-2024;02:53:10;      714;        0;       -0;
10-01-2024;02:53:20;      716;        0;        0;
10-01-2024;02:53:30;      714;        0;       -0;
10-01-2024;02:53:40;      711;        0;       -0;
10-01-2024;02:53:50;      714;        0;       -0;
10-01-2024;02:54:00;      714;        0;        0;
10-01-2024;02:54:10;      714;        0;       -0;
10-01-2024;02:54:20;      722;        0;       -0;
10-01-2024;02:54:30;      725;        0;       -0;
10-01-2024;02:54:40;      732;        0;       -0;
10-01-2024;02:54:50;      740;        0;       -0;
10-01-2024;02:55:00;      765;        0;       -0;
10-01-2024;02:55:10;      772;        0;        0;
10-01-2024;02:55:20;      775;        0;       -0;
10-01-2024;02:55:30;      767;        0;       -0;
10-01-2024;02:55:40;      778;        0;       -0;
10-01-2024;02:55:50;      785;        0;       -0;
10-01-2024;02:56:00;      788;        0;       -0;
10-01-2024;02:56:10;      779;        0;       -0;
10-01-2024;02:56:20;      767;        0;       -0;
10-01-2024;02:56:30;      760;       -0;        0;
10-01-2024;02:56:40;      748;        0;       -0;
10-01-2024;02:56:50;      741;       -0;       -0;
10-01-2024;02:57:00;      735;        0;       -0;
10-01-2024;02:57:10;      730;       -0;       -0;
10-01-2024;02:57:20;      728;       -0;       -0;
