Tecomat F2x CP2007I v2.3.061 DataLogger v1.3 (2024-01-09-00:00:00) : Datalog / Vystupy ! Type : PERIODIC | DATE : %TDD-MM-YYYY | TIME : %Thh:mm:ss | BIT5 : %b %R012351.5 | BIT4 : %b %R012351.4 | BIT4 : %b %Y000006.4 | BIT5 : %b %Y000006.5 | BIT3 : %b %Y000006.3 | BIT2 : %b %Y000006.2 | BIT2 : %b %Y000915.2 | BIT2 : %b %R011093.2 | REAL : %5.1f %RF010058 | REAL : %5.1f %XF001468 | REAL : %5.1f %XF001474 | REAL : %5.1f %XF001478 | BIT0 : %b %Y000794.0 | BIT1 : %b %Y000794.1 | ,;
DATUM;ÈAS;cerpadlo TC;cerpadlo Sol;TV el.teleso;TV ventil;zdroj2;cerpadlo Z1;cerpadlo Z2;HDO;tepl.Krb;t2 modul Krb;t1 modul UNI;t2 modul UNI;cerp. Krb;out2 modul Krb
09-01-2024;00:39:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;00:40:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;00:41:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;00:42:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;00:43:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;00:44:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;00:45:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;00:46:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;00:47:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;00:48:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;00:49:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;00:50:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;00:51:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;00:52:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;00:53:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;00:54:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;00:55:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;00:56:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;00:57:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;00:58:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;00:59:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;01:00:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;01:01:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;01:02:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;01:03:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;01:04:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;01:05:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;01:06:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;01:07:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;01:08:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;01:09:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;01:10:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;01:11:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;01:12:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;01:13:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;01:14:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;01:15:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;01:16:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;01:17:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;01:18:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;01:19:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;01:20:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;01:21:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;01:22:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;01:23:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;01:24:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;01:25:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;01:26:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;01:27:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;01:28:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;01:29:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;01:30:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;01:31:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;01:32:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;01:33:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;01:34:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;01:35:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;01:36:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;01:37:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;01:38:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;01:39:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;01:40:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;01:41:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;01:42:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;01:43:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;01:44:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;01:45:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;01:46:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;01:47:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;01:48:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;01:49:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;01:50:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;01:51:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;01:52:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;01:53:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;01:54:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;01:55:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;01:56:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;01:57:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;01:58:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;01:59:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;02:00:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;02:01:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;02:02:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;02:03:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;02:04:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;02:05:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;02:06:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;02:07:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;02:08:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;02:09:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;02:10:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;02:11:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;02:12:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;02:13:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;02:14:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;02:15:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;02:16:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;02:17:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;02:18:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;02:19:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;02:20:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;02:21:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;02:22:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;02:23:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;02:24:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;02:25:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;02:26:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;02:27:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;02:28:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;02:29:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;02:30:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;02:31:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;02:32:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;02:33:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;02:34:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;02:35:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;02:36:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;02:37:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;02:38:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;02:39:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;02:40:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;02:41:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;02:42:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;02:43:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;02:44:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;02:45:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;02:46:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;02:47:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;02:48:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;02:49:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;02:50:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;02:51:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;02:52:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;02:53:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;02:54:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;02:55:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;02:56:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;02:57:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;02:58:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;02:59:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;03:00:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;03:01:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;03:02:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;03:03:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;03:04:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;03:05:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;03:06:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;03:07:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;03:08:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;03:09:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;03:10:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;03:11:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;03:12:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;03:13:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;03:14:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;03:15:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;03:16:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;03:17:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;03:18:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;03:19:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;03:20:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;03:21:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;03:22:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;03:23:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;03:24:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;03:25:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;03:26:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;03:27:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;03:28:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;03:29:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;03:30:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;03:31:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;03:32:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;03:33:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;03:34:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;03:35:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;03:36:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;03:37:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;03:38:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;03:39:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;03:40:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;03:41:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;03:42:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;03:43:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;03:44:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;03:45:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;03:46:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;03:47:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;03:48:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;03:49:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;03:50:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;03:51:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;03:52:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;03:53:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;03:54:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;03:55:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;03:56:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;03:57:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;03:58:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;03:59:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;04:00:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
09-01-2024;04:01:00;0;0;0;0;0;0;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
